ABU_SAX,Abudefduf saxatilis,Sergeant Major
ACA_BAH,Acanthurus bahianus,Ocean Surgeon
ACA_CHI,Acanthurus chirurgus,Doctorfish
ACA_COE,Acanthurus coeruleus,Blue Tang
ACA_QUA,Acanthostracion quadricornis,Scrawled Cowfish
AET_NAR,Aetobatus narinari,Spotted Eagle Ray
ALB_VUL,Albula vulpes,Bonefish
ANI_VIR,Anisotremus virginicus,Porkfish
ARC_PRO,Archosargus probatocephalus,Sheepshead
ARC_RHO,Archosargus rhomboidalis,Sea Bream
ARI_FEL,Ariopsis felis,Hardhead Catfish
BAG_MAR,Bagre marinus,Gafftopsail Catfish
CAL_CAL,Calamus calamus,Saucereye Porgy
CAR_BAR,Caranx bartholomaei,Yellow Jack
CAR_CRY,Caranx crysos,Blue Runner
CAR_HIP,Caranx hippos,Crevalle Jack
CAR_LEU,Carcharhinus leucas,Bull Shark
CAR_LIM,Carcharhinus limbatus,Blacktip Shark
CAR_RUB,Caranx ruber,Bar Jack
CEN_UND,Centropomus undecimalis,Common Snook
CHA_CAP,Chaetodon capistratus,Foureye Butterflyfish
CHA_FAB,Chaetodipterus faber,Atlantic Spadefish
CHA_STR,Chaetodon striatus,Banded Butterflyfish
CHI_SCH,Chilomycterus schoepfi,Striped Burrfish
CIC_URO,Cichlasoma urophthalmus,Mayan Cichlid
CYP_VAR,Cyprinodon variegatus,Sheepshead Minnow
DAS_AME,Dasyatis americana,Southern Stingray
DIA_PLU,Diapterus plumieri,Striped Mojarra
DIO_HYS,Diodon hystrix,Porcupinefish
DIP_HOL,Diplodus holbrooki,Spottail Pinfish
ECH_NAU,Echeneis naucrates,Sharksucker
EPI_ITA,Epinephelus itajara,Goliath Grouper
FLO_CAR,Floridichthys carpio,Goldspotted Kilifish
FUN_CON,Fundulus confluentus,Marsh Kilifish
FUN_GRA,Fundulus grandis,Gulf Kilifish
FUN_SP,Fundulus sp.,Unknown Fundulus
GAMBUSIA,Gambusia sp.,Mosquitofish
GER_CIN,Gerres cinereus,Yellowfin Mojarra
GERRID,Gerres sp.,Common Mojarra
GIN_CIR,Ginglymostoma cirratum,Nurse Shark
GOB_SPP,Gobiidae spp.,Goby not identified to species
GYM_FUN,Gymnothorax funebris,Green Moray
HAE_AUR,Haemulon aurolineatum,Tomtate
HAE_CAR,Haemulon carbonarium,Caesar Grunt
HAE_CHR,Haemulon chrysargyreum,Smallmouth Grunt
HAE_FLA,Haemulon flavolineatum,French Grunt
HAE_MEL,Haemulon melanurum,Cottonwick
HAE_PAR,Haemulon parra,Sailors Choice
HAE_PLU,Haemulon plumieri,White Grunt
HAE_SCI,Haemulon sciurus,Bluestriped Grunt
HAE_SP,Haemulon sp.,Unknown Grunt
HIP_ERE,Hippocampus erectus,Lined Seahorse
KYP_SEC,Kyphosus sectatrix,Bermuda Chub
LAC_MAX,Lachnolaimus maximus,Hogfish
LAC_QUA,Lactophrys quadricornis,Scrawled Cowfish
LAC_SP,Lactophrys sp.,Unknown Cowfish
LAG_ARC,SEE NEXT,"Pinfish/Sea Bream, not positively identified to species"
LAG_RHO,Lagodon rhomboides,Pinfish
LOP_CYP,Lophogobius cyprinoides,Crested Goby
LUC_PAR,Lucania parva,Rainwater Killifish
LUT_ANA,Lutjanus analis,Mutton Snapper
LUT_APO,Lutjanus apodus,Schoolmaster
LUT_CYA,Lutjanus cyanopterus,Cubera Snapper
LUT_GRI,Lutjanus griseus,Gray Snapper
LUT_JOC,Lutjanus jocu,Dog Snapper
LUT_SYN,Lutjanus synagris,Lane Snapper
MEG_ATL,Megalops atlanticus,Tarpon
MIC_GUL,Microgobius gulosus,Clown Goby
MUG_CEP,Mugil cephalus,Striped Mullet
MYC_BON,Mycteroperca bonaci,Black Grouper
NAU_DUC,Naucrates ductor,Pilotfish
NEG_BRE,Negaprion brevirostris,Lemon Shark
NES_LON,Nes longus,Orangespotted Goby
NIC_UST,Nicholsina usta,Emerald Parrotfish
NO_FISH,No fish,No fish
