L00,25.40230,-80.22895,LK
L01,25.40572,-80.21970,LK
L02,25.40846,-80.21513,LK
L03,25.41197,-80.21222,LK
L04,25.41597,-80.20870,LK
L05,25.42076,-80.21046,LK
L06,25.42967,-80.20866,LK
L07,25.43427,-80.20502,LK
L08,25.43577,-80.20395,LK
L09,25.44007,-80.20212,LK
L10,25.44557,-80.20005,LK
L11,25.51126,-80.17824,LK
L12,25.50669,-80.18240,LK
L13,25.50185,-80.19035,LK
L14,25.49991,-80.18991,LK
L15,25.49061,-80.18105,LK
L16,25.48613,-80.18343,LK
L17,25.48404,-80.18501,LK
L20,25.45498,-80.19624,LK
L21,25.45552,-80.19608,LK
M01,25.69672,-80.24747,ML
M02,25.66893,-80.26225,ML
M03,25.66420,-80.26456,ML
M04,25.66119,-80.26568,ML
M05,25.65969,-80.26672,ML
M06,25.65737,-80.26674,ML
M07,25.64834,-80.26975,ML
M08,25.64652,-80.27064,ML
M09,25.64500,-80.27117,ML
M10,25.64083,-80.27163,ML
M11,25.63759,-80.27554,ML
M12,25.63377,-80.27760,ML
M13,25.63153,-80.27885,ML
M14,25.62729,-80.28062,ML
M15,25.62910,-80.28169,ML
M16,25.63254,-80.28240,ML
M17,25.62922,-80.28873,ML
M18,25.62385,-80.29926,ML
M19,25.62061,-80.29812,ML
M20,25.61747,-80.30151,ML
M21,25.61590,-80.30295,ML
M22,25.61371,-80.30622,ML
M23,25.60930,-80.30740,ML
M24,25.59438,-80.30789,ML
M25,25.58483,-80.30726,ML
M26,25.57966,-80.30501,ML
M27,25.57395,-80.30343,ML
M28,25.56941,-80.30259,ML
M29,25.56847,-80.30336,ML
M30,25.56176,-80.30761,ML
M31,25.55806,-80.30754,ML
M32,25.55360,-80.30974,ML
M33,25.55180,-80.31012,ML
M34,25.54509,-80.31238,ML
M35,25.54042,-80.31275,ML
M36,25.53753,-80.31329,ML
M37,25.53197,-80.32884,ML
M38,25.52554,-80.33121,ML
M39,25.52408,-80.33129,ML
M40,25.51839,-80.33088,ML
M41,25.51652,-80.33363,ML
M42,25.51557,-80.33404,ML
M43,25.51438,-80.33472,ML
M44,25.51198,-80.33527,ML
M45,25.50952,-80.33555,ML
M46,25.50748,-80.33352,ML
M47,25.50571,-80.33360,ML
M48,25.50401,-80.33262,ML
M49,25.50515,-80.33667,ML
M50,25.50438,-80.33772,ML
M51,25.49938,-80.34014,ML
M52,25.49727,-80.33937,ML
M53,25.49321,-80.33861,ML
M54,25.49030,-80.34027,ML
M55,25.48690,-80.33999,ML
M56,25.48522,-80.33969,ML
M57,25.48307,-80.33932,ML
M58,25.48029,-80.34028,ML
M59,25.47961,-80.34028,ML
M60,25.47700,-80.34028,ML
M61,25.47239,-80.34041,ML
M62,25.46918,-80.34012,ML
M63,25.46573,-80.33757,ML
M64,25.45868,-80.33715,ML
M65,25.45535,-80.33611,ML
M66,25.45188,-80.33292,ML
M67,25.45043,-80.33055,ML
M68,25.44470,-80.33109,ML
M69,25.44313,-80.33051,ML
M70,25.43767,-80.32418,ML
M71,25.43758,-80.32310,ML
M72,25.43742,-80.32169,ML
M73,25.43708,-80.31936,ML
M74,25.43497,-80.32176,ML
M75,25.43250,-80.32192,ML
M76,25.43368,-80.32426,ML
M77,25.43211,-80.32532,ML
M78,25.42603,-80.32748,ML
M79,25.42449,-80.32622,ML
M80,25.41882,-80.32563,ML
M81,25.41638,-80.32771,ML
M82,25.41390,-80.32690,ML
M83,25.41076,-80.32609,ML
M84,25.40730,-80.32813,ML
M85,25.40516,-80.32796,ML
M86,25.40059,-80.32697,ML
M87,25.39664,-80.32752,ML
M88,25.39289,-80.32343,ML
M89,25.38896,-80.31668,ML
M90,25.38743,-80.31168,ML
M91,25.38989,-80.30886,ML
M92,25.38207,-80.30792,ML
M93,25.37746,-80.30304,ML
M94,25.37431,-80.30999,ML
M95,25.36295,-80.31910,ML
M96,25.34269,-80.33396,ML
M97,25.34004,-80.33579,ML
M98,25.33652,-80.33876,ML
M99,25.33024,-80.34307,ML
M100,25.32158,-80.34694,ML
M101,25.32461,-80.35824,ML
M102,25.32423,-80.36528,ML
M103,25.32395,-80.36926,ML
M104,25.31770,-80.37093,ML
M105,25.31635,-80.37584,ML
M106,25.31289,-80.37399,ML
M107,25.30237,-80.37709,ML
M108,25.29987,-80.37624,ML
M109,25.29631,-80.37357,ML
M110,25.29309,-80.37695,ML
M111,25.28886,-80.37740,ML
M112,25.28975,-80.39268,ML
M113,25.29016,-80.40117,ML
M114,25.28627,-80.40054,ML
M115,25.28166,-80.39613,ML
M116,25.27559,-80.39823,ML
M117,25.26139,-80.40113,ML
M118,25.23838,-80.40099,ML
M119,25.24915,-80.39960,ML
M120,25.26408,-80.40192,ML
M121,25.25866,-80.42221,ML
N04,25.51501,-80.17947,LK
OR1,25.91880,-80.12496,OR
OR2,25.92529,-80.12920,OR
OR3,25.92833,-80.13238,OR
OR4,25.92775,-80.13485,OR
OR5,25.92478,-80.13680,OR
OR6,25.92241,-80.13805,OR
OR7,25.92853,-80.13085,OR
OR8,25.92510,-80.13060,OR
OR9,25.91255,-80.13305,OR
OR10,25.73156,-80.15627,OR
